gene,pcc,ssim,rmse,js
Principal Cells,0.3679951055671403,0.21806012498973304,1.1242818991986483,0.3782489506558129
Proximal Tubule,-0.3427836099279488,-0.2619546837388599,1.6387700326329797,0.26645702964682594
Thick Ascending Limb,-0.11878922542432958,-0.10232246296148508,1.495853753161939,0.22351153261897205
Distal Convoluted Tubule,-0.02844186323806424,-0.007436002737234405,1.4341839932435894,0.2679847168792582
Intercalated Cells Type A,-0.11946476714944822,-0.08081999254061059,1.4963052944833473,0.5115574178207039
Intercalated Cells Type B,-0.1586867748893676,-0.027348824159107686,1.5222922024955443,0.6158145064415628
Connecting Tubule,0.05555131549025981,0.05274049284307663,1.374371626969751,0.3372712570578025
Endothelial Cell,-0.08688902557175539,-0.026740817361301034,1.474373782710311,0.4600122298629895
Mesangial Cells,-0.004420161590041668,0.0059642691988501155,1.4173356423868284,0.5943194311807283
Leukocyte,-0.06791488249007023,-0.0009756051248584701,1.4614478317682573,0.6604142387090488
